claim,esperado,pred,confidence
Fire is the rapid oxidation of a material in the combustion process.,TRUE,TRUE,95
The Transformer architecture refuses to use any attention mechanisms.,FALSE,FALSE,80
L'intelligence artificielle est une branche de la cuisine traditionnelle.,FALSE,INSUFFICIENT INFORMATION,92
Los transistores fueron inventados por los antiguos romanos para enviar correos.,FALSE,INSUFFICIENT INFORMATION,80
Deep learning is based on the study of ancient rocks and minerals.,FALSE,INSUFFICIENT INFORMATION,92
Die Kernfusion findet ausschließlich in Gefrierschränken statt.,FALSE,INSUFFICIENT INFORMATION,42
Il sole è un pianeta solido fatto di ghiaccio e situato vicino a Marte.,FALSE,INSUFFICIENT INFORMATION,42
L'oxygène est un métal lourd qui ne se trouve pas dans l'air.,FALSE,INSUFFICIENT INFORMATION,96
The Holocene ended five million years ago before humans existed.,FALSE,FALSE,95
La mecánica cuántica afirma que los átomos no existen en absoluto.,FALSE,INSUFFICIENT INFORMATION,92
Operating systems are physical parts of the computer you can eat.,FALSE,INSUFFICIENT INFORMATION,42
Cells are the largest objects in the universe and can be seen from space.,FALSE,INSUFFICIENT INFORMATION,42
La neurociencia es el estudio de cómo fabricar muebles de madera.,FALSE,INSUFFICIENT INFORMATION,92
Radiology uses crystal balls and magic to predict the future.,FALSE,INSUFFICIENT INFORMATION,92
The Milky Way is a small island located in the middle of the Pacific Ocean.,FALSE,INSUFFICIENT INFORMATION,80
El ADN es una proteína que solo se encuentra en las piedras del río.,FALSE,INSUFFICIENT INFORMATION,92
"L'atome est la particule la plus grande de la galaxie, visible à l'œil nu.",FALSE,INSUFFICIENT INFORMATION,92
Machine Learning means that computers grow biological brains with age.,FALSE,INSUFFICIENT INFORMATION,92
La chirurgie est une technique pour réparer les pneus de bicyclette.,FALSE,INSUFFICIENT INFORMATION,92
Computers process data using steam and water pipes instead of electricity.,FALSE,INSUFFICIENT INFORMATION,80
RAM memory is a permanent storage that never deletes information.,FALSE,FALSE,92
La prehistoria terminó cuando se inventó el primer iPhone en el año 2007.,FALSE,INSUFFICIENT INFORMATION,92
The Moon is a star that provides heat to the entire Solar System.,FALSE,INSUFFICIENT INFORMATION,92
"Jupiter is the smallest planet in the universe, smaller than an atom.",FALSE,FALSE,95
La bioquímica es el estudio de cómo los fantasmas atraviesan paredes.,FALSE,INSUFFICIENT INFORMATION,92
Software is a tool used exclusively for gardening and planting trees.,FALSE,INSUFFICIENT INFORMATION,80
Ancient Greece was a civilization located on the planet Mars.,FALSE,INSUFFICIENT INFORMATION,80
Los semiconductores son materiales que no permiten el paso de la electricidad.,FALSE,INSUFFICIENT INFORMATION,96
L'eau est composée d'or et d'argent pur.,FALSE,INSUFFICIENT INFORMATION,92
Stars are small plastic balls floating in the Earth's atmosphere.,FALSE,INSUFFICIENT INFORMATION,92
Fire is a cold process that turns water into solid ice.,FALSE,INSUFFICIENT INFORMATION,34
Who will win the Super Bowl in February 2026?,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,92
¿Cuál es el nombre de la madre del primer programador de Python?,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,43
What is the current temperature of the water in the Nile River?,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,92
¿Cuántas personas están comiendo pizza en Madrid ahora mismo?,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,20
The secret ingredients of the most famous burger in my city.,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,92
¿Cuál es la matrícula del coche oficial del presidente?,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,92
How many birds are currently flying over the Eiffel Tower?,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,92
¿Cuál será el número premiado de la lotería de Navidad este año?,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,92
The exact number of stars in a galaxy discovered yesterday.,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,92
¿Quién es el mejor jugador de ajedrez de mi barrio?,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,20
The results of the tennis match happening in my local club now.,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,92
¿Qué cenó el director de la universidad anoche?,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,92
The exact weight of the largest rock on the planet Mars.,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,43
¿Cuál es la contraseña del router de mi vecino?,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,92
The total amount of money inside the Bank of Spain right now.,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,92
¿Cuántas hojas tiene el árbol que está frente a mi casa?,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,92
The personal phone number of the CEO of OpenAI.,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,92
¿Cuál es el color de los calcetines que llevo puestos?,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,80
The winner of the 2030 World Cup in Uruguay.,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,92
¿Qué canción está escuchando mi hermano en este momento?,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,92
What is the serial number of the dollar bill in my pocket?,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,8
¿Cuál es la profundidad exacta de un charco en mi calle?,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,80
The name of the cat belonging to the person who wrote this.,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,80
¿Cuántos granos de arroz hay en un paquete de un kilo?,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,80
The brand of the shoes worn by the first person to walk today.,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,92
¿Quién ganó el torneo local de dominó en 1950?,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,92
The current mood of a person living in Tokyo at this second.,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,92
¿Cuál es el color favorito del próximo presidente de Francia?,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,92
The exact time the first leaf will fall next autumn.,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,42
¿Cuántos peces hay exactamente en el Mar Mediterráneo?,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,92
The total number of windows in all the buildings of New York.,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,42
¿Qué marca de champú usa el mejor científico del mundo?,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,92
The result of a coin flip I am about to do.,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,42
¿Cuántos pasos dará mi perro mañana por la mañana?,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,42
The specific smell of the air in the center of the Sahara desert.,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,42
¿Quién es la persona más alta de mi portal?,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,92
The number of clouds currently over the Atlantic Ocean.,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,92
¿Cuál es la primera palabra que dirá un bebé que nace ahora?,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,80
The exact coordinates of a lost treasure in the Caribbean.,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,92
¿Qué está pensando el profesor mientras corrige este trabajo?,INSUFFICIENT INFORMATION,INSUFFICIENT INFORMATION,92
